freq,wst_oper,material,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DSP_I,MF3,T_HAB,EU27_2020	0.009 s	0.008 s	0.007 s	0.006 s	0.006 s	0.005 s	0.004 s	0.003 s	0.003 s	0.003 s	0.002 s	0.002 s	0.002 s
A,DSP_I,MF3,T_HAB,FI	0.009 s	0.007 s	0.005 s	0.007 s	0.01 s	0.005 s	0.001 s	0.002 s	0.002 s	0.003 s	0.003 s	0.002 s	0.002 s
A,DSP_I,MF3,T_HAB,FR	0.015 s	0.014 s	0.014 s	0.012 s	0.011 s	0.01 s	0.009 s	0.009 s	0.008 s	0.008 s	0.007 s	0.006 s	0.005 s
A,DSP_I,MF3,T_HAB,HR	0.001 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,T_HAB,HU	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,DSP_I,MF3,T_HAB,IE	0.001 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,T_HAB,IT	0.008 s	0.007 s	0.007 s	0.007 s	0.006 s	0.005 s	0.003 s	0.002 s	0.001 s	0.001 s	0.001 s	0 s	0 s
A,DSP_I,MF3,T_HAB,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,T_HAB,LU	0.03 s	0.03 s	0.031 s	0.015 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,T_HAB,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,T_HAB,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,T_HAB,NL	0.021 s	0.015 s	0.008 s	0.006 s	0.004 s	0.004 s	0.004 s	0.004 s	0.005 s	0.004 s	0.003 s	0.003 s	0.003 s
A,DSP_I,MF3,T_HAB,PL	0.001 s	0.001 s	0.001 s	0.001 s	0.002 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,DSP_I,MF3,T_HAB,PT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,T_HAB,RO	0 s	0.002 s	0.003 s	0.002 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,T_HAB,SE	0.001 s	0.001 s	0.001 s	0.001 s	0.002 s	0.003 s	0.005 s	0.003 s	0.002 s	0.002 s	0.001 s	0.003 s	0.003 s
A,DSP_I,MF3,T_HAB,SI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF3,T_HAB,SK	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0 s	0 s	0.001 s	0.001 s	0.001 s	0 s	0 s	0 s
